FRB,Host RA (deg),Host DEC (deg),Galactic longitude,Galactic latitude,DM_obs (pc cm^-3),DM_obs error,DM_MW (NE2001),DM_MW (NE2001) error,DM_MW (YMW16),DM_MW (YMW16) error,DM_IGM,DM_IGM error,DM_ex (NE2001),DM_ex error,Tau_SC (ms),SM,SM error,RM,RM error,Host z,Host mass (10^9 M_sun),Host mass error,Log host mass (M_sun),Host SFR (M_sun / year),Host SFR error,Stellar age (Gyr),Reff (kpc),Metallicity (12 + log(O/H)),Metallicity error,Burst width (ms),Scattering timecale (ms),Scattering timescale error,Linear polarisation fraction,Linear polarisation fraction error,Total polarisation fraction,Total polarisation fraction error
121102.00,82.99,33.15,,,,,,,,,,,,,,,,,,0.19,0.14,0.07,,0.15,0.04,0.26,,8.08,0.00,,,,,,,
180301.00,93.23,4.67,,,,,,,,,,,,,,,,,,0.33,2.30,0.60,,1.93,0.58,,,8.70,0.00,,,,,,,
180916.00,29.50,65.71,,,,,,,,,,,,,,,,,,0.03,2.15,0.33,,0.06,0.02,0.15,,,,,,,,,,
180924.00,326.11,-40.90,,,,,,,,,,,,,,,,,,0.32,13.20,5.10,,0.88,0.26,0.38,,8.93,0.02,,,,,,,
181112.00,327.35,-52.97,,,,,,,,,,,,,,,,,,0.48,3.98,2.02,,0.37,0.11,0.57,,8.86,0.12,,,,,,,
190102.00,322.42,-79.48,,,,,,,,,,,,,,,,,,0.29,3.39,1.02,,0.86,0.26,0.06,,8.70,0.08,,,,,,,
190523.00,207.06,72.47,,,,,,,,,,,,,,,,,,0.66,61.20,40.10,,0.09,0.00,0.69,,,,,,,,,,
190608.00,334.02,-7.90,,,,,,,,,,,,,,,,,,0.12,11.60,2.80,,0.69,0.21,0.38,,8.85,0.02,,,,,,,
190611.00,320.74,-79.40,,,,,,,,,,,,,,,,,,0.38,0.80,0.00,,0.27,0.08,0.00,,8.71,0.23,,,,,,,
190614.00,65.07,73.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190711.00,329.42,-80.36,,,,,,,,,,,,,,,,,,0.52,0.81,0.29,,0.42,0.12,0.61,,,,,,,,,,
190714.00,183.98,-13.02,,,,,,,,,,,,,,,,,,0.24,14.90,7.10,,0.65,0.20,1.59,,9.03,0.04,,,,,,,
191001.00,323.35,-54.75,,,,,,,,,,,,,,,,,,0.23,46.40,18.80,,8.06,2.42,0.64,,8.94,0.05,,,,,,,
191228.00,344.43,29.59,,,,,,,,,,,,,,,,,,0.24,5.40,6.00,,0.50,0.15,,,8.48,0.00,,,,,,,
200430.00,229.71,12.38,,,,,,,,,,,,,,,,,,0.16,1.30,0.60,,0.20,0.00,0.69,,,,,,,,,,
200906.00,53.50,-13.92,,,,,,,,,,,,,,,,,,0.37,13.30,3.70,,0.48,0.14,,,8.76,0.00,,,,,,,